Event ID,Match ID,Alliance Color,Team 1,Team 2,Team 3,Overall Score,Overall Difference,Auto Score,Auto Difference,Hangar Score,Hangar Difference,Penalty Score,Penalty Difference,Result
2022flwp,2022flwp_sf1m1,blue,frc2183,frc3932,frc8324,31,-71,8,-20,10,-11,4,4,Loss
2022flwp,2022flwp_sf1m1,red,frc179,frc4481,frc4592,102,71,28,20,21,11,0,-4,Win
2022flwp,2022flwp_sf1m2,blue,frc2183,frc3932,frc8324,33,-57,12,-16,12,-9,0,-4,Loss
2022flwp,2022flwp_sf1m2,red,frc179,frc4481,frc4592,90,57,28,16,21,9,4,4,Win
2022flwp,2022flwp_sf2m1,blue,frc2383,frc5472,frc7403,38,-71,12,-16,6,-21,4,-4,Loss
2022flwp,2022flwp_sf2m1,red,frc2168,frc4206,frc2641,109,71,28,16,27,21,8,4,Win
2022flwp,2022flwp_sf2m2,blue,frc2383,frc5472,frc7403,62,-17,18,-10,12,-3,0,0,Loss
2022flwp,2022flwp_sf2m2,red,frc2168,frc4206,frc2641,79,17,28,10,15,3,0,0,Win
2022inkok,2022inkok_qm1,blue,frc8116,frc1646,frc1555,8,-52,4,-6,0,-27,0,0,Loss
2022inkok,2022inkok_qm1,red,frc6498,frc461,frc4272,60,52,10,6,27,27,0,0,Win
2022inkok,2022inkok_qm10,blue,frc3940,frc1646,frc4982,63,21,14,0,15,3,0,0,Win
2022inkok,2022inkok_qm10,red,frc2197,frc5484,frc1720,42,-21,14,0,12,-3,0,0,Loss
2022inkok,2022inkok_qm11,blue,frc4272,frc1501,frc7454,70,24,20,10,16,-14,4,4,Win
2022inkok,2022inkok_qm11,red,frc292,frc3487,frc5402,46,-24,10,-10,30,14,0,-4,Loss
2022inkok,2022inkok_qm12,blue,frc8742,frc3936,frc5010,40,13,6,-4,21,9,8,8,Win
2022inkok,2022inkok_qm12,red,frc7477,frc447,frc8232,27,-13,10,4,12,-9,0,-8,Loss
2022inkok,2022inkok_qm13,blue,frc45,frc5484,frc1024,62,11,6,-2,20,4,12,4,Win
2022inkok,2022inkok_qm13,red,frc6956,frc868,frc3494,51,-11,8,2,16,-4,8,-4,Loss
2022inkok,2022inkok_qm14,blue,frc292,frc4272,frc8116,50,-26,8,-6,21,-15,4,4,Loss
2022inkok,2022inkok_qm14,red,frc3940,frc3487,frc461,76,26,14,6,36,15,0,-4,Win
2022inkok,2022inkok_qm15,blue,frc1646,frc6498,frc1501,27,8,10,6,6,0,0,-4,Win
2022inkok,2022inkok_qm15,red,frc1555,frc1747,frc3559,19,-8,4,-6,6,0,4,4,Loss
2022inkok,2022inkok_qm16,blue,frc3865,frc2197,frc3147,18,6,10,8,6,-4,0,0,Win
2022inkok,2022inkok_qm16,red,frc829,frc4982,frc1720,12,-6,2,-8,10,4,0,0,Loss
2022inkok,2022inkok_qm17,blue,frc868,frc3936,frc8232,38,-2,10,-8,27,21,0,0,Loss
2022inkok,2022inkok_qm17,red,frc292,frc461,frc7477,40,2,18,8,6,-21,0,0,Win
2022inkok,2022inkok_qm18,blue,frc3494,frc3559,frc1646,53,22,16,6,6,-6,0,-4,Win
2022inkok,2022inkok_qm18,red,frc45,frc447,frc5010,31,-22,10,-6,12,6,4,4,Loss
2022inkok,2022inkok_qm19,blue,frc3940,frc8742,frc1720,57,31,6,0,15,3,0,0,Win
2022inkok,2022inkok_qm19,red,frc1555,frc5402,frc5484,26,-31,6,0,12,-3,0,0,Loss
2022inkok,2022inkok_qm2,blue,frc3936,frc1501,frc1747,16,-1,4,0,4,-2,4,4,Loss
2022inkok,2022inkok_qm2,red,frc7454,frc5010,frc868,17,1,4,0,6,2,0,-4,Win
2022inkok,2022inkok_qm20,blue,frc4982,frc3147,frc1747,5,-17,4,-2,0,-6,0,-4,Loss
2022inkok,2022inkok_qm20,red,frc7454,frc6956,frc2197,22,17,6,2,6,6,4,4,Win
2022inkok,2022inkok_qm21,blue,frc1501,frc1024,frc3487,57,29,14,2,27,17,4,4,Win
2022inkok,2022inkok_qm21,red,frc3865,frc8116,frc829,28,-29,12,-2,10,-17,0,-4,Loss
2022inkok,2022inkok_qm22,blue,frc6498,frc3494,frc447,33,-20,14,-2,12,-9,0,0,Loss
2022inkok,2022inkok_qm22,red,frc45,frc1720,frc4272,53,20,16,2,21,9,0,0,Win
2022inkok,2022inkok_qm23,blue,frc3147,frc461,frc3559,34,14,8,2,15,9,0,0,Win
2022inkok,2022inkok_qm23,red,frc1646,frc5484,frc7454,20,-14,6,-2,6,-9,0,0,Loss
2022inkok,2022inkok_qm24,blue,frc8742,frc3865,frc868,16,-34,6,-6,6,-16,0,0,Loss
2022inkok,2022inkok_qm24,red,frc8232,frc1024,frc8116,50,34,12,6,22,16,0,0,Win
2022inkok,2022inkok_qm25,blue,frc4982,frc292,frc3936,46,-7,10,-8,30,5,0,0,Loss
2022inkok,2022inkok_qm25,red,frc1747,frc4272,frc3487,53,7,18,8,25,-5,0,0,Win
2022inkok,2022inkok_qm26,blue,frc1555,frc5010,frc6956,39,-34,6,-6,12,-9,0,-4,Loss
2022inkok,2022inkok_qm26,red,frc3940,frc2197,frc6498,73,34,12,6,21,9,4,4,Win
2022inkok,2022inkok_qm27,blue,frc5402,frc7477,frc3494,35,-20,16,0,6,-6,0,-4,Loss
2022inkok,2022inkok_qm27,red,frc1501,frc3147,frc829,55,20,16,0,12,6,4,4,Win
2022inkok,2022inkok_qm28,blue,frc1720,frc3487,frc8232,29,2,14,6,15,0,0,-4,Win
2022inkok,2022inkok_qm28,red,frc1646,frc1747,frc461,27,-2,8,-6,15,0,4,4,Loss
2022inkok,2022inkok_qm29,blue,frc3936,frc45,frc6956,41,7,12,4,21,0,0,0,Win
2022inkok,2022inkok_qm29,red,frc3865,frc7454,frc292,34,-7,8,-4,21,0,0,0,Loss
2022inkok,2022inkok_qm3,blue,frc292,frc1024,frc447,36,25,2,0,10,10,8,8,Win
2022inkok,2022inkok_qm3,red,frc5402,frc45,frc2197,11,-25,2,0,0,-10,0,-8,Loss
2022inkok,2022inkok_qm30,blue,frc868,frc1555,frc1501,45,-12,8,-12,6,-9,12,12,Loss
2022inkok,2022inkok_qm30,red,frc447,frc829,frc3940,57,12,20,12,15,9,0,-12,Win
2022inkok,2022inkok_qm31,blue,frc7477,frc4272,frc5484,58,43,18,8,21,21,0,0,Win
2022inkok,2022inkok_qm31,red,frc3559,frc8116,frc2197,15,-43,10,-8,0,-21,0,0,Loss
2022inkok,2022inkok_qm32,blue,frc5010,frc5402,frc6498,21,-27,8,-6,6,-9,0,-4,Loss
2022inkok,2022inkok_qm32,red,frc1024,frc8742,frc4982,48,27,14,6,15,9,4,4,Win
2022inkok,2022inkok_qm33,blue,frc1501,frc6956,frc461,69,52,10,6,27,27,0,-4,Win
2022inkok,2022inkok_qm33,red,frc3865,frc1555,frc45,17,-52,4,-6,0,-27,4,4,Loss
2022inkok,2022inkok_qm34,blue,frc8116,frc7477,frc3147,31,-30,12,0,6,-19,12,12,Loss
2022inkok,2022inkok_qm34,red,frc7454,frc3940,frc3936,61,30,12,0,25,19,0,-12,Win
2022inkok,2022inkok_qm35,blue,frc4272,frc447,frc868,44,6,12,2,6,-15,0,0,Win
2022inkok,2022inkok_qm35,red,frc5484,frc4982,frc6498,38,-6,10,-2,21,15,0,0,Loss
2022inkok,2022inkok_qm36,blue,frc2197,frc3494,frc292,54,20,18,10,21,15,0,0,Win
2022inkok,2022inkok_qm36,red,frc8232,frc3559,frc8742,34,-20,8,-10,6,-15,0,0,Loss
2022inkok,2022inkok_qm37,blue,frc1720,frc5010,frc1646,41,-7,14,-4,10,-6,0,0,Loss
2022inkok,2022inkok_qm37,red,frc1024,frc829,frc5402,48,7,18,4,16,6,0,0,Win
2022inkok,2022inkok_qm38,blue,frc3487,frc6498,frc7454,52,-15,14,-2,31,16,0,-8,Loss
2022inkok,2022inkok_qm38,red,frc1747,frc45,frc3940,67,15,16,2,15,-16,8,8,Win
2022inkok,2022inkok_qm39,blue,frc3936,frc7477,frc3559,50,-5,14,6,21,0,0,0,Loss
2022inkok,2022inkok_qm39,red,frc3494,frc5484,frc1501,55,5,8,-6,21,0,0,0,Win
2022inkok,2022inkok_qm4,blue,frc5484,frc3559,frc829,47,30,12,6,16,10,0,0,Win
2022inkok,2022inkok_qm4,red,frc6956,frc7477,frc8742,17,-30,6,-6,6,-10,0,0,Loss
2022inkok,2022inkok_qm40,blue,frc461,frc8116,frc8742,52,26,10,0,21,15,4,4,Win
2022inkok,2022inkok_qm40,red,frc447,frc6956,frc4982,26,-26,10,0,6,-15,0,-4,Loss
2022inkok,2022inkok_qm41,blue,frc1720,frc3865,frc5402,9,-39,8,-2,0,-21,0,-4,Loss
2022inkok,2022inkok_qm41,red,frc868,frc292,frc1747,48,39,10,2,21,21,4,4,Win
2022inkok,2022inkok_qm42,blue,frc829,frc1555,frc3487,53,19,10,4,25,4,0,-4,Win
2022inkok,2022inkok_qm42,red,frc2197,frc8232,frc5010,34,-19,6,-4,21,-4,4,4,Loss
2022inkok,2022inkok_qm43,blue,frc1024,frc3940,frc4272,85,46,20,10,27,6,0,0,Win
2022inkok,2022inkok_qm43,red,frc3147,frc1646,frc3936,39,-46,10,-10,21,-6,0,0,Loss
2022inkok,2022inkok_qm44,blue,frc461,frc4982,frc3494,52,-7,14,-4,15,0,4,-4,Loss
2022inkok,2022inkok_qm44,red,frc5402,frc3559,frc1501,59,7,18,4,15,0,8,4,Win
2022inkok,2022inkok_qm45,blue,frc829,frc292,frc8232,43,11,14,6,21,15,4,0,Win
2022inkok,2022inkok_qm45,red,frc6498,frc1720,frc8116,32,-11,8,-6,6,-15,4,0,Loss
2022inkok,2022inkok_qm46,blue,frc5484,frc6956,frc1747,57,-33,14,-10,15,-10,0,-4,Loss
2022inkok,2022inkok_qm46,red,frc5010,frc3865,frc4272,90,33,24,10,25,10,4,4,Win
2022inkok,2022inkok_qm47,blue,frc447,frc2197,frc1555,22,-31,4,-8,12,-8,0,-12,Loss
2022inkok,2022inkok_qm47,red,frc1024,frc7454,frc7477,53,31,12,8,20,8,12,12,Win
2022inkok,2022inkok_qm48,blue,frc1646,frc868,frc45,26,-14,8,-4,6,-15,0,0,Loss
2022inkok,2022inkok_qm48,red,frc8742,frc3147,frc3487,40,14,12,4,21,15,0,0,Win
2022inkok,2022inkok_qm49,blue,frc5484,frc3940,frc5010,72,52,16,8,20,20,8,-4,Win
2022inkok,2022inkok_qm49,red,frc1747,frc8116,frc5402,20,-52,8,-8,0,-20,12,4,Loss
2022inkok,2022inkok_qm5,blue,frc3494,frc3940,frc3147,65,58,16,12,15,15,0,0,Win
2022inkok,2022inkok_qm5,red,frc4982,frc8232,frc3865,7,-58,4,-12,0,-15,0,0,Loss
2022inkok,2022inkok_qm50,blue,frc461,frc3865,frc1024,55,29,14,8,21,9,0,0,Win
2022inkok,2022inkok_qm50,red,frc8232,frc7454,frc1555,26,-29,6,-8,12,-9,0,0,Loss
2022midet,2022midet_f1m1,blue,frc5090,frc7191,frc5756,35,-21,6,-10,12,-4,0,0,Loss
2022midet,2022midet_f1m1,red,frc1701,frc33,frc5478,56,21,16,10,16,4,0,0,Win
2022midet,2022midet_f1m2,blue,frc5090,frc7191,frc5756,24,-31,8,-8,12,-4,0,0,Loss
2022midet,2022midet_f1m2,red,frc1701,frc33,frc5478,55,31,16,8,16,4,0,0,Win
2022midet,2022midet_qf1m1,blue,frc4680,frc6616,frc2048,35,-33,6,-8,6,-4,8,8,Loss
2022midet,2022midet_qf1m1,red,frc1701,frc33,frc5478,68,33,14,8,10,4,0,-8,Win
2022midet,2022midet_qf1m2,blue,frc4680,frc6616,frc2048,42,42,10,-10,0,-10,20,20,Win
2022midet,2022midet_qf1m2,red,frc1701,frc33,frc5478,0,-42,20,10,10,10,0,-20,Loss
2022midet,2022midet_qf1m3,blue,frc4680,frc6616,frc2048,27,-71,8,-28,6,-10,0,0,Loss
2022midet,2022midet_qf1m3,red,frc1701,frc33,frc5478,98,71,36,28,16,10,0,0,Win
2022midet,2022midet_qf2m1,blue,frc3096,frc2673,frc2224,29,9,10,2,12,12,4,0,Win
2022midet,2022midet_qf2m1,red,frc123,frc6532,frc3619,20,-9,8,-2,0,-12,4,0,Loss
2022midet,2022midet_qf2m2,blue,frc3096,frc2673,frc2224,44,19,10,2,12,6,12,12,Win
2022midet,2022midet_qf2m2,red,frc123,frc6532,frc3619,25,-19,8,-2,6,-6,0,-12,Loss
2022midet,2022midet_qf3m1,blue,frc6096,frc7865,frc3632,0,-30,0,-14,0,-6,0,0,Loss
2022midet,2022midet_qf3m1,red,frc3414,frc8352,frc7145,30,30,14,14,6,6,0,0,Win
2022midet,2022midet_qf3m2,blue,frc6096,frc7865,frc3632,2,-48,2,-8,0,-12,0,-8,Loss
2022midet,2022midet_qf3m2,red,frc3414,frc8352,frc7145,50,48,10,8,12,12,8,8,Win
2022midet,2022midet_qf4m1,blue,frc3302,frc5577,frc5901,34,-6,8,-4,12,6,4,0,Loss
2022midet,2022midet_qf4m1,red,frc5090,frc7191,frc5756,40,6,12,4,6,-6,4,0,Win
2022midet,2022midet_qf4m2,blue,frc3302,frc5577,frc5901,28,-14,12,2,10,-2,0,0,Loss
2022midet,2022midet_qf4m2,red,frc5090,frc7191,frc5756,42,14,10,-2,12,2,0,0,Win
2022midet,2022midet_qm1,blue,frc5642,frc4851,frc5619,2,-38,2,-4,0,-12,0,0,Loss
2022midet,2022midet_qm1,red,frc5090,frc2224,frc3414,40,38,6,4,12,12,0,0,Win
2022midet,2022midet_qm10,blue,frc5577,frc7865,frc5901,14,-18,4,-8,6,6,4,-8,Loss
2022midet,2022midet_qm10,red,frc33,frc3302,frc6616,32,18,12,8,0,-6,12,8,Win
2022midet,2022midet_qm11,blue,frc4851,frc7145,frc3096,15,15,8,8,0,0,4,4,Win
2022midet,2022midet_qm11,red,frc2224,frc7196,frc5197,0,-15,0,-8,0,0,0,-4,Loss
2022midet,2022midet_qm12,blue,frc8352,frc6096,frc6532,16,5,6,0,6,6,0,-4,Win
2022midet,2022midet_qm12,red,frc5478,frc5217,frc2048,11,-5,6,0,0,-6,4,4,Loss
2022midet,2022midet_qm13,blue,frc5065,frc5532,frc4680,4,-8,2,-2,0,-4,0,0,Loss
2022midet,2022midet_qm13,red,frc7191,frc5756,frc2673,12,8,4,2,4,4,0,0,Win
2022midet,2022midet_qm14,blue,frc123,frc6616,frc5577,39,37,6,4,15,15,16,16,Win
2022midet,2022midet_qm14,red,frc3632,frc3619,frc4758,2,-37,2,-4,0,-15,0,-16,Loss
2022midet,2022midet_qm15,blue,frc5915,frc3096,frc5901,9,-29,6,-6,0,0,0,0,Loss
2022midet,2022midet_qm15,red,frc3414,frc7856,frc1701,38,29,12,6,0,0,0,0,Win
2022midet,2022midet_qm16,blue,frc3302,frc7145,frc2048,11,-17,8,-6,0,-6,0,0,Loss
2022midet,2022midet_qm16,red,frc2591,frc5478,frc8352,28,17,14,6,6,6,0,0,Win
2022midet,2022midet_qm17,blue,frc5642,frc7232,frc2224,2,-33,2,-6,0,-6,0,0,Loss
2022midet,2022midet_qm17,red,frc6532,frc33,frc5217,35,33,8,6,6,6,0,0,Win
2022midet,2022midet_qm18,blue,frc5619,frc7196,frc5065,2,-25,2,-6,0,-6,0,0,Loss
2022midet,2022midet_qm18,red,frc5090,frc7191,frc7865,27,25,8,6,6,6,0,0,Win
2022midet,2022midet_qm19,blue,frc4851,frc7856,frc5577,10,7,6,4,0,0,4,4,Win
2022midet,2022midet_qm19,red,frc6096,frc5197,frc5756,3,-7,2,-4,0,0,0,-4,Loss
2022midet,2022midet_qm2,blue,frc7856,frc33,frc4758,22,-22,12,4,0,-6,0,-12,Loss
2022midet,2022midet_qm2,red,frc1701,frc6532,frc5532,44,22,8,-4,6,6,12,12,Win
2022midet,2022midet_qm20,blue,frc6616,frc4680,frc1701,24,20,2,-2,6,6,0,0,Win
2022midet,2022midet_qm20,red,frc5915,frc5478,frc7145,4,-20,4,2,0,-6,0,0,Loss
2022midet,2022midet_qm21,blue,frc5217,frc4758,frc123,24,12,6,2,6,6,8,4,Win
2022midet,2022midet_qm21,red,frc3619,frc2673,frc2224,12,-12,4,-2,0,-6,4,-4,Loss
2022midet,2022midet_qm22,blue,frc8352,frc5090,frc3096,44,42,10,8,27,27,0,0,Win
2022midet,2022midet_qm22,red,frc5642,frc7865,frc3632,2,-42,2,-8,0,-27,0,0,Loss
2022midet,2022midet_qm23,blue,frc7196,frc5532,frc33,20,12,6,-2,6,6,0,0,Win
2022midet,2022midet_qm23,red,frc3302,frc6096,frc5065,8,-12,8,2,0,-6,0,0,Loss
2022midet,2022midet_qm24,blue,frc5197,frc5901,frc7191,39,31,12,4,12,12,0,0,Win
2022midet,2022midet_qm24,red,frc5619,frc2591,frc7232,8,-31,8,-4,0,-12,0,0,Loss
2022midet,2022midet_qm25,blue,frc3414,frc6532,frc7145,51,16,10,2,6,6,4,-20,Win
2022midet,2022midet_qm25,red,frc2048,frc4851,frc3619,35,-16,8,-2,0,-6,24,20,Loss
2022midet,2022midet_qm26,blue,frc1701,frc3096,frc7865,38,28,12,6,4,4,8,8,Win
2022midet,2022midet_qm26,red,frc7856,frc123,frc3632,10,-28,6,-6,0,-4,0,-8,Loss
2022midet,2022midet_qm27,blue,frc5756,frc4758,frc7196,5,0,2,0,0,0,0,0,Tie
2022midet,2022midet_qm27,red,frc5478,frc6096,frc4680,5,0,2,0,0,0,0,0,Tie
2022midet,2022midet_qm28,blue,frc8352,frc5642,frc5197,10,0,2,-6,6,6,0,0,Tie
2022midet,2022midet_qm28,red,frc2673,frc5065,frc5901,10,0,8,6,0,-6,0,0,Tie
2022midet,2022midet_qm29,blue,frc6616,frc5619,frc6532,15,9,8,2,0,0,0,0,Win
2022midet,2022midet_qm29,red,frc3302,frc4851,frc5915,6,-9,6,-2,0,0,0,0,Loss
2022midet,2022midet_qm3,blue,frc5756,frc5915,frc7232,4,0,4,4,0,-4,0,0,Tie
2022midet,2022midet_qm3,red,frc2673,frc3632,frc7196,4,0,0,-4,4,4,0,0,Tie
2022midet,2022midet_qm30,blue,frc2591,frc33,frc5090,47,34,22,18,6,0,0,0,Win
2022midet,2022midet_qm30,red,frc5217,frc7232,frc7191,13,-34,4,-18,6,0,0,0,Loss
2022midet,2022midet_qm31,blue,frc5532,frc2048,frc3414,45,39,10,6,6,6,0,0,Win
2022midet,2022midet_qm31,red,frc2224,frc5577,frc5478,6,-39,4,-6,0,-6,0,0,Loss
2022midet,2022midet_qm32,blue,frc6096,frc7196,frc3619,2,-28,2,-4,0,-6,0,-4,Loss
2022midet,2022midet_qm32,red,frc1701,frc5642,frc2673,30,28,6,4,6,6,4,4,Win
2022midet,2022midet_qm33,blue,frc7145,frc7856,frc5901,13,-10,4,0,0,-15,0,-4,Loss
2022midet,2022midet_qm33,red,frc6616,frc5065,frc4758,23,10,4,0,15,15,4,4,Win
2022midet,2022midet_qm34,blue,frc5619,frc4680,frc7865,22,-4,6,-6,0,0,8,8,Loss
2022midet,2022midet_qm34,red,frc6532,frc5197,frc5090,26,4,12,6,0,0,0,-8,Win
2022midet,2022midet_qm35,blue,frc5532,frc5756,frc2224,20,-39,6,-18,0,-16,8,8,Loss
2022midet,2022midet_qm35,red,frc2048,frc8352,frc33,59,39,24,18,16,16,0,-8,Win
2022midet,2022midet_qm36,blue,frc5915,frc123,frc7191,29,7,4,-4,12,0,0,0,Win
2022midet,2022midet_qm36,red,frc3096,frc7232,frc5577,22,-7,8,4,12,0,0,0,Loss
2022midet,2022midet_qm37,blue,frc3302,frc3632,frc2591,12,-20,6,-4,0,-6,0,0,Loss
2022midet,2022midet_qm37,red,frc3414,frc5217,frc4851,32,20,10,4,6,6,0,0,Win
2022midet,2022midet_qm38,blue,frc5478,frc5619,frc2673,16,0,8,2,0,-6,8,4,Tie
2022midet,2022midet_qm38,red,frc7865,frc5065,frc5197,16,0,6,-2,6,6,4,-4,Tie
2022midet,2022midet_qm39,blue,frc3619,frc1701,frc33,52,36,12,8,16,10,0,0,Win
2022midet,2022midet_qm39,red,frc4680,frc2048,frc7196,16,-36,4,-8,6,-10,0,0,Loss
2022midet,2022midet_qm4,blue,frc5197,frc2591,frc4680,5,-16,0,-10,0,-4,4,4,Loss
2022midet,2022midet_qm4,red,frc123,frc8352,frc3302,21,16,10,10,4,4,0,-4,Win
2022midet,2022midet_qm40,blue,frc5090,frc5915,frc7856,24,0,8,6,6,-4,0,-8,Tie
2022midet,2022midet_qm40,red,frc7145,frc5642,frc5577,24,0,2,-6,10,4,8,8,Tie
2022midet,2022midet_qm41,blue,frc3096,frc5756,frc5217,14,-3,6,6,0,-15,0,0,Loss
2022midet,2022midet_qm41,red,frc6616,frc2591,frc5532,17,3,0,-6,15,15,0,0,Win
2022midet,2022midet_qm42,blue,frc2224,frc6096,frc123,20,-1,6,-6,6,6,0,0,Loss
2022midet,2022midet_qm42,red,frc7232,frc5901,frc6532,21,1,12,6,0,-6,0,0,Win
2022midet,2022midet_qm43,blue,frc3632,frc7191,frc8352,34,10,14,8,12,6,0,0,Win
2022midet,2022midet_qm43,red,frc4758,frc3302,frc3414,24,-10,6,-8,6,-6,0,0,Loss
2022midet,2022midet_qm44,blue,frc33,frc5915,frc2673,41,25,6,-2,16,10,12,12,Win
2022midet,2022midet_qm44,red,frc5197,frc4851,frc5478,16,-25,8,2,6,-10,0,-12,Loss
2022midet,2022midet_qm45,blue,frc3096,frc2048,frc7856,28,10,8,6,4,4,4,-8,Win
2022midet,2022midet_qm45,red,frc4680,frc5217,frc5642,18,-10,2,-6,0,-4,12,8,Loss
2022midet,2022midet_qm46,blue,frc2591,frc1701,frc6096,44,28,8,0,6,6,4,4,Win
2022midet,2022midet_qm46,red,frc6532,frc2224,frc5065,16,-28,8,0,0,-6,0,-4,Loss
2022midet,2022midet_qm47,blue,frc7232,frc3414,frc3619,32,24,12,10,6,6,4,0,Win
2022midet,2022midet_qm47,red,frc7865,frc6616,frc5756,8,-24,2,-10,0,-6,4,0,Loss
2022midet,2022midet_qm48,blue,frc5577,frc4758,frc8352,32,15,8,0,12,12,0,-4,Win
2022midet,2022midet_qm48,red,frc7196,frc7191,frc4851,17,-15,8,0,0,-12,4,4,Loss
2022midet,2022midet_qm49,blue,frc123,frc5090,frc7145,36,32,8,6,6,6,8,8,Win
2022midet,2022midet_qm49,red,frc5901,frc3302,frc5532,4,-32,2,-6,0,-6,0,-8,Loss
2022midet,2022midet_qm5,blue,frc3619,frc7865,frc7145,2,-23,2,-10,0,-4,0,-4,Loss
2022midet,2022midet_qm5,red,frc7191,frc3096,frc6096,25,23,12,10,4,4,4,4,Win
2022midet,2022midet_qm50,blue,frc3632,frc2224,frc2048,14,7,6,0,0,0,0,0,Win
2022midet,2022midet_qm50,red,frc7856,frc5619,frc5197,7,-7,6,0,0,0,0,0,Loss
2022midet,2022midet_qm51,blue,frc7232,frc6616,frc5478,17,-38,8,-16,6,-4,0,0,Loss
2022midet,2022midet_qm51,red,frc7865,frc3414,frc33,55,38,24,16,10,4,0,0,Win
2022midet,2022midet_qm52,blue,frc5915,frc5065,frc5642,12,-8,8,2,0,-6,4,0,Loss
2022midet,2022midet_qm52,red,frc3619,frc5577,frc2591,20,8,6,-2,6,6,4,0,Win
2022midet,2022midet_qm53,blue,frc4851,frc5090,frc6096,22,0,6,-2,6,2,0,0,Tie
2022midet,2022midet_qm53,red,frc5532,frc123,frc3096,22,0,8,2,4,-2,0,0,Tie
2022midet,2022midet_qm54,blue,frc2673,frc3302,frc5217,20,2,8,2,6,6,0,-12,Win
2022midet,2022midet_qm54,red,frc7145,frc4758,frc5619,18,-2,6,-2,0,-6,12,12,Loss
2022midet,2022midet_qm55,blue,frc6532,frc7191,frc4680,44,29,10,0,15,15,0,0,Win
2022midet,2022midet_qm55,red,frc5901,frc5756,frc3632,15,-29,10,0,0,-15,0,0,Loss
2022midet,2022midet_qm56,blue,frc8352,frc2224,frc6616,38,4,6,-2,15,15,4,4,Win
2022midet,2022midet_qm56,red,frc7196,frc1701,frc5915,34,-4,8,2,0,-15,0,-4,Loss
2022midet,2022midet_qm57,blue,frc6096,frc2048,frc5642,7,-14,6,0,0,-6,0,-4,Loss
2022midet,2022midet_qm57,red,frc2591,frc7865,frc123,21,14,6,0,6,6,4,4,Win
2022midet,2022midet_qm58,blue,frc4758,frc2673,frc3096,13,-9,4,-4,6,2,0,0,Loss
2022midet,2022midet_qm58,red,frc5577,frc5532,frc5619,22,9,8,4,4,-2,0,0,Win
2022midet,2022midet_qm59,blue,frc5065,frc3619,frc7191,32,23,14,8,0,0,8,8,Win
2022midet,2022midet_qm59,red,frc7856,frc6532,frc3302,9,-23,6,-8,0,0,0,-8,Loss
2022midet,2022midet_qm6,blue,frc5217,frc5901,frc6616,2,-3,2,-2,0,0,0,0,Loss
2022midet,2022midet_qm6,red,frc5065,frc5577,frc2048,5,3,4,2,0,0,0,0,Win
2022midet,2022midet_qm60,blue,frc5756,frc3414,frc5478,38,14,14,10,12,12,0,-4,Win
2022midet,2022midet_qm60,red,frc5090,frc7196,frc5217,24,-14,4,-10,0,-12,4,4,Loss
2022midet,2022midet_qm61,blue,frc3632,frc5197,frc7232,12,-26,2,-12,6,-6,4,4,Loss
2022midet,2022midet_qm61,red,frc1701,frc7145,frc8352,38,26,14,12,12,6,0,-4,Win
2022midet,2022midet_qm62,blue,frc4680,frc2673,frc4851,19,-11,8,-6,0,0,0,0,Loss
2022midet,2022midet_qm62,red,frc33,frc5901,frc5642,30,11,14,6,0,0,0,0,Win
2022midet,2022midet_qm63,blue,frc2048,frc6532,frc4758,30,1,8,0,15,15,0,-16,Win
2022midet,2022midet_qm63,red,frc3096,frc2591,frc5065,29,-1,8,0,0,-15,16,16,Loss
2022midet,2022midet_qm64,blue,frc7191,frc3414,frc5619,37,32,10,6,12,12,0,0,Win
2022midet,2022midet_qm64,red,frc6096,frc5915,frc6616,5,-32,4,-6,0,-12,0,0,Loss
2022midet,2022midet_qm65,blue,frc5197,frc5217,frc1701,49,8,12,4,6,-4,4,-4,Win
2022midet,2022midet_qm65,red,frc5577,frc5090,frc5756,41,-8,8,-4,10,4,8,4,Loss
2022midet,2022midet_qm66,blue,frc7865,frc5478,frc3302,29,11,6,-2,12,6,4,4,Win
2022midet,2022midet_qm66,red,frc5901,frc4680,frc2224,18,-11,8,2,6,-6,0,-4,Loss
2022midet,2022midet_qm67,blue,frc5532,frc3619,frc7856,8,-18,4,-2,0,-6,4,-4,Loss
2022midet,2022midet_qm67,red,frc4851,frc8352,frc7232,26,18,6,2,6,6,8,4,Win
2022midet,2022midet_qm68,blue,frc7196,frc123,frc6532,19,-29,6,-12,6,-4,0,0,Loss
2022midet,2022midet_qm68,red,frc7145,frc33,frc3632,48,29,18,12,10,4,0,0,Win
2022midet,2022midet_qm69,blue,frc2673,frc5577,frc6096,26,8,6,-2,10,4,4,4,Win
2022midet,2022midet_qm69,red,frc2048,frc6616,frc5090,18,-8,8,2,6,-4,0,-4,Loss
2022midet,2022midet_qm7,blue,frc5478,frc5642,frc5532,1,-25,0,-6,0,-6,0,0,Loss
2022midet,2022midet_qm7,red,frc5619,frc3632,frc1701,26,25,6,6,6,6,0,0,Win
2022midet,2022midet_qm70,blue,frc7191,frc1701,frc3302,56,25,18,12,12,0,4,4,Win
2022midet,2022midet_qm70,red,frc5642,frc3096,frc3414,31,-25,6,-12,12,0,0,-4,Loss
2022midet,2022midet_qm71,blue,frc5217,frc8352,frc7865,16,8,8,4,6,6,0,-4,Win
2022midet,2022midet_qm71,red,frc4758,frc5532,frc5915,8,-8,4,-4,0,-6,4,4,Loss
