Event ID,Match ID,Alliance Color,Team 1,Team 2,Team 3,Overall Score,Overall Difference,Auto Score,Auto Difference,Hangar Score,Hangar Difference,Penalty Score,Penalty Difference,Result
2022caph,2022caph_qm30,red,frc5817,frc8768,frc359,62,12,14,4,16,4,0,-12,Win
2022caph,2022caph_qm31,blue,frc1836,frc972,frc5025,28,-76,10,-20,12,-4,0,0,Loss
2022caph,2022caph_qm31,red,frc973,frc5199,frc6560,104,76,30,20,16,4,0,0,Win
2022caph,2022caph_qm32,blue,frc4711,frc1678,frc1452,93,67,22,6,21,15,0,0,Win
2022caph,2022caph_qm32,red,frc5285,frc8537,frc4817,26,-67,16,-6,6,-15,0,0,Loss
2022caph,2022caph_qm33,blue,frc2659,frc687,frc2945,18,-24,6,-12,6,-6,0,0,Loss
2022caph,2022caph_qm33,red,frc5104,frc3128,frc1661,42,24,18,12,12,6,0,0,Win
2022caph,2022caph_qm34,blue,frc4,frc4501,frc3859,37,13,12,2,16,10,0,0,Win
2022caph,2022caph_qm34,red,frc5817,frc4400,frc8006,24,-13,10,-2,6,-10,0,0,Loss
2022caph,2022caph_qm35,blue,frc5012,frc4414,frc2102,70,0,26,12,10,-11,0,-4,Tie
2022caph,2022caph_qm35,red,frc3759,frc4415,frc3501,70,0,14,-12,21,11,4,4,Tie
2022caph,2022caph_qm36,blue,frc5199,frc5025,frc687,32,-26,10,-12,10,-6,0,0,Loss
2022caph,2022caph_qm36,red,frc1661,frc359,frc8537,58,26,22,12,16,6,0,0,Win
2022caph,2022caph_qm37,blue,frc2945,frc973,frc1452,54,20,14,8,12,6,0,-4,Win
2022caph,2022caph_qm37,red,frc4400,frc4,frc8768,34,-20,6,-8,6,-6,4,4,Loss
2022caph,2022caph_qm38,blue,frc1678,frc3759,frc3128,113,71,20,10,30,14,4,4,Win
2022caph,2022caph_qm38,red,frc4415,frc3859,frc5817,42,-71,10,-10,16,-14,0,-4,Loss
2022caph,2022caph_qm39,blue,frc3501,frc8006,frc589,29,17,10,0,12,12,0,0,Win
2022caph,2022caph_qm39,red,frc4711,frc968,frc5285,12,-17,10,0,0,-12,0,0,Loss
2022caph,2022caph_qm4,blue,frc3859,frc3128,frc5199,74,24,10,0,25,19,8,0,Win
2022caph,2022caph_qm4,red,frc4817,frc3374,frc4711,50,-24,10,0,6,-19,8,0,Loss
2022caph,2022caph_qm40,blue,frc2102,frc4817,frc5104,32,-30,22,4,0,-6,0,-4,Loss
2022caph,2022caph_qm40,red,frc5012,frc3374,frc6560,62,30,18,-4,6,6,4,4,Win
2022caph,2022caph_qm41,blue,frc972,frc4414,frc2945,68,46,30,28,6,-4,0,-8,Win
2022caph,2022caph_qm41,red,frc2659,frc1836,frc4501,22,-46,2,-28,10,4,8,8,Loss
2022caph,2022caph_qm42,blue,frc1452,frc1661,frc5285,20,-9,8,2,6,-10,0,0,Loss
2022caph,2022caph_qm42,red,frc687,frc3859,frc3759,29,9,6,-2,16,10,0,0,Win
2022caph,2022caph_qm43,blue,frc8768,frc5025,frc5104,23,-48,6,-8,10,-5,0,-12,Loss
2022caph,2022caph_qm43,red,frc4415,frc2102,frc4400,71,48,14,8,15,5,12,12,Win
2022caph,2022caph_qm44,blue,frc968,frc973,frc1836,47,-42,12,-16,0,-21,4,0,Loss
2022caph,2022caph_qm44,red,frc8006,frc1678,frc972,89,42,28,16,21,21,4,0,Win
2022caph,2022caph_qm45,blue,frc589,frc6560,frc4711,10,-60,4,-4,6,-10,0,-8,Loss
2022caph,2022caph_qm45,red,frc4501,frc5012,frc359,70,60,8,4,16,10,8,8,Win
2022caph,2022caph_qm46,blue,frc5199,frc5817,frc8537,47,-16,10,-10,16,0,0,0,Loss
2022caph,2022caph_qm46,red,frc3128,frc3501,frc3374,63,16,20,10,16,0,0,0,Win
2022caph,2022caph_qm47,blue,frc4414,frc2659,frc3759,69,47,24,14,16,10,0,0,Win
2022caph,2022caph_qm47,red,frc4,frc4817,frc968,22,-47,10,-14,6,-10,0,0,Loss
2022caph,2022caph_qm48,blue,frc5012,frc4711,frc973,56,23,12,-6,0,-6,12,12,Win
2022caph,2022caph_qm48,red,frc1661,frc2945,frc4415,33,-23,18,6,6,6,0,-12,Loss
2022caph,2022caph_qm49,blue,frc1452,frc8537,frc972,30,-18,10,2,10,-2,0,0,Loss
2022caph,2022caph_qm49,red,frc3374,frc4501,frc8006,48,18,8,-2,12,2,0,0,Win
2022caph,2022caph_qm5,blue,frc2102,frc2945,frc968,46,28,18,18,6,0,8,-4,Win
2022caph,2022caph_qm5,red,frc8537,frc4,frc687,18,-28,0,-18,6,0,12,4,Loss
2022caph,2022caph_qm50,blue,frc5285,frc5199,frc2659,54,-46,12,-14,16,-5,0,-12,Loss
2022caph,2022caph_qm50,red,frc8768,frc1678,frc589,100,46,26,14,21,5,12,12,Win
2022caph,2022caph_qm51,blue,frc4,frc5025,frc6560,38,-40,8,-26,6,6,0,-4,Loss
2022caph,2022caph_qm51,red,frc5104,frc5817,frc4414,78,40,34,26,0,-6,4,4,Win
2022caph,2022caph_qm52,blue,frc4400,frc1836,frc3501,26,-40,12,-2,0,-16,4,4,Loss
2022caph,2022caph_qm52,red,frc359,frc2102,frc3128,66,40,14,2,16,16,0,-4,Win
2022flwp,2022flwp_f1m1,blue,frc2168,frc4206,frc2641,67,-18,28,-4,12,-9,0,0,Loss
2022flwp,2022flwp_f1m1,red,frc179,frc4481,frc4592,85,18,32,4,21,9,0,0,Win
2022flwp,2022flwp_f1m2,blue,frc2168,frc4206,frc2641,77,-16,28,0,16,-5,4,0,Loss
2022flwp,2022flwp_f1m2,red,frc179,frc4481,frc4592,93,16,28,0,21,5,4,0,Win
2022flwp,2022flwp_qf1m1,blue,frc6686,frc744,frc3164,28,-60,10,-22,6,-10,0,0,Loss
2022flwp,2022flwp_qf1m1,red,frc179,frc4481,frc4592,88,60,32,22,16,10,0,0,Win
2022flwp,2022flwp_qf1m2,blue,frc6686,frc744,frc3164,20,-68,6,-26,6,-15,4,0,Loss
2022flwp,2022flwp_qf1m2,red,frc179,frc4481,frc4592,88,68,32,26,21,15,4,0,Win
2022flwp,2022flwp_qf2m1,blue,frc3627,frc5842,frc21,39,7,12,0,16,6,0,0,Win
2022flwp,2022flwp_qf2m1,red,frc2183,frc3932,frc8324,32,-7,12,0,10,-6,0,0,Loss
2022flwp,2022flwp_qf2m2,blue,frc3627,frc5842,frc21,37,-11,12,-4,16,-6,0,0,Loss
2022flwp,2022flwp_qf2m2,red,frc2183,frc3932,frc8324,48,11,16,4,22,6,0,0,Win
2022flwp,2022flwp_qf2m3,blue,frc3627,frc5842,frc21,36,-3,8,0,12,2,4,-4,Loss
2022flwp,2022flwp_qf2m3,red,frc2183,frc3932,frc8324,39,3,8,0,10,-2,8,4,Win
2022flwp,2022flwp_qf3m1,blue,frc59,frc2190,frc1523,33,-50,8,-16,12,-15,0,0,Loss
2022flwp,2022flwp_qf3m1,red,frc2168,frc4206,frc2641,83,50,24,16,27,15,0,0,Win
2022flwp,2022flwp_qf3m2,blue,frc59,frc2190,frc1523,38,-42,8,-20,12,-9,0,-4,Loss
2022flwp,2022flwp_qf3m2,red,frc2168,frc4206,frc2641,80,42,28,20,21,9,4,4,Win
2022flwp,2022flwp_qf4m1,blue,frc108,frc5410,frc7652,34,-10,12,4,12,-4,0,0,Loss
2022flwp,2022flwp_qf4m1,red,frc2383,frc5472,frc7403,44,10,8,-4,16,4,0,0,Win
2022flwp,2022flwp_qf4m2,blue,frc108,frc5410,frc7652,49,-25,22,2,12,-4,0,0,Loss
2022flwp,2022flwp_qf4m2,red,frc2383,frc5472,frc7403,74,25,20,-2,16,4,0,0,Win
2022flwp,2022flwp_qm1,blue,frc2641,frc4707,frc8817,9,-21,8,4,0,-12,0,-4,Loss
2022flwp,2022flwp_qm1,red,frc59,frc744,frc1523,30,21,4,-4,12,12,4,4,Win
2022flwp,2022flwp_qm10,blue,frc7833,frc5410,frc4471,2,-63,0,-10,0,-30,0,0,Loss
2022flwp,2022flwp_qm10,red,frc108,frc2383,frc2168,65,63,10,10,30,30,0,0,Win
2022flwp,2022flwp_qm11,blue,frc8817,frc348,frc179,53,30,16,12,15,9,0,0,Win
2022flwp,2022flwp_qm11,red,frc744,frc1744,frc3627,23,-30,4,-12,6,-9,0,0,Loss
2022flwp,2022flwp_qm12,blue,frc8324,frc1523,frc2641,21,-15,6,-6,10,4,4,0,Loss
2022flwp,2022flwp_qm12,red,frc6686,frc8754,frc4481,36,15,12,6,6,-4,4,0,Win
2022flwp,2022flwp_qm13,blue,frc2383,frc3164,frc5410,24,4,4,-4,10,4,0,-4,Win
2022flwp,2022flwp_qm13,red,frc21,frc4592,frc2190,20,-4,8,4,6,-4,4,4,Loss
2022flwp,2022flwp_qm14,blue,frc59,frc4471,frc7442,7,-33,0,-10,0,-15,4,4,Loss
2022flwp,2022flwp_qm14,red,frc2168,frc1744,frc348,40,33,10,10,15,15,0,-4,Win
2022flwp,2022flwp_qm15,blue,frc3932,frc108,frc7652,42,15,16,-6,16,4,0,0,Win
2022flwp,2022flwp_qm15,red,frc8817,frc5472,frc2183,27,-15,22,6,12,-4,0,0,Loss
2022flwp,2022flwp_qm16,blue,frc3627,frc179,frc4206,50,46,14,10,15,15,0,0,Win
2022flwp,2022flwp_qm16,red,frc7833,frc7403,frc4707,4,-46,4,-10,0,-15,0,0,Loss
2022flwp,2022flwp_qm17,blue,frc4481,frc3164,frc5842,45,9,24,10,6,6,0,0,Win
2022flwp,2022flwp_qm17,red,frc744,frc2383,frc1592,36,-9,14,-10,0,-6,0,0,Loss
2022flwp,2022flwp_qm18,blue,frc1744,frc2183,frc7652,22,9,16,10,0,-6,4,4,Win
2022flwp,2022flwp_qm18,red,frc4592,frc7442,frc2641,13,-9,6,-10,6,6,0,-4,Loss
2022flwp,2022flwp_qm19,blue,frc2168,frc7833,frc4206,75,48,24,12,16,16,0,-4,Win
2022flwp,2022flwp_qm19,red,frc1523,frc108,frc8754,27,-48,12,-12,0,-16,4,4,Loss
2022flwp,2022flwp_qm2,blue,frc2183,frc8324,frc7442,12,-8,12,10,0,-6,0,-4,Loss
2022flwp,2022flwp_qm2,red,frc5410,frc7652,frc3627,20,8,2,-10,6,6,4,4,Win
2022flwp,2022flwp_qm20,blue,frc3627,frc6686,frc4707,9,-3,4,2,0,-6,0,0,Loss
2022flwp,2022flwp_qm20,red,frc5410,frc59,frc5842,12,3,2,-2,6,6,0,0,Win
2022flwp,2022flwp_qm21,blue,frc744,frc8817,frc21,32,-37,10,-8,10,-15,0,-4,Loss
2022flwp,2022flwp_qm21,red,frc179,frc4471,frc5472,69,37,18,8,25,15,4,4,Win
2022flwp,2022flwp_qm22,blue,frc3932,frc2190,frc8324,37,28,10,10,10,10,4,4,Win
2022flwp,2022flwp_qm22,red,frc7403,frc348,frc1592,9,-28,0,-10,0,-10,0,-4,Loss
2022flwp,2022flwp_qm23,blue,frc2183,frc4206,frc59,68,19,14,-4,16,0,0,0,Win
2022flwp,2022flwp_qm23,red,frc1744,frc6686,frc2383,49,-19,18,4,16,0,0,0,Loss
2022flwp,2022flwp_qm24,blue,frc5410,frc8817,frc4481,36,-10,12,0,6,-10,0,0,Loss
2022flwp,2022flwp_qm24,red,frc5472,frc2168,frc4707,46,10,12,0,16,10,0,0,Win
2022flwp,2022flwp_qm25,blue,frc3627,frc4592,frc1523,24,24,6,6,6,6,4,4,Win
2022flwp,2022flwp_qm25,red,frc1592,frc8324,frc4471,0,-24,0,-6,0,-6,0,-4,Loss
2022flwp,2022flwp_qm26,blue,frc2190,frc7442,frc179,66,27,18,6,15,9,0,-4,Win
2022flwp,2022flwp_qm26,red,frc108,frc7403,frc2641,39,-27,12,-6,6,-9,4,4,Loss
2022flwp,2022flwp_qm27,blue,frc348,frc744,frc7652,28,21,12,6,6,6,0,0,Win
2022flwp,2022flwp_qm27,red,frc5842,frc21,frc8754,7,-21,6,-6,0,-6,0,0,Loss
2022flwp,2022flwp_qm28,blue,frc3164,frc59,frc5472,22,-5,10,4,6,-10,0,0,Loss
2022flwp,2022flwp_qm28,red,frc1523,frc7833,frc3932,27,5,6,-4,16,10,0,0,Win
2022flwp,2022flwp_qm29,blue,frc7403,frc4481,frc3627,41,8,12,4,12,6,0,-4,Win
2022flwp,2022flwp_qm29,red,frc4471,frc2641,frc108,33,-8,8,-4,6,-6,4,4,Loss
2022flwp,2022flwp_qm3,blue,frc6686,frc2168,frc7403,32,2,22,8,10,-15,0,0,Win
2022flwp,2022flwp_qm3,red,frc179,frc3164,frc21,30,-2,14,-8,25,15,0,0,Loss
2022flwp,2022flwp_qm30,blue,frc8324,frc5410,frc1744,19,-30,8,-6,6,-6,0,0,Loss
2022flwp,2022flwp_qm30,red,frc7652,frc5842,frc4206,49,30,14,6,12,6,0,0,Win
2022flwp,2022flwp_qm31,blue,frc7442,frc2168,frc744,32,0,10,4,12,-4,0,0,Tie
2022flwp,2022flwp_qm31,red,frc3164,frc3932,frc6686,32,0,6,-4,16,4,0,0,Tie
2022flwp,2022flwp_qm32,blue,frc8754,frc348,frc4707,7,-26,6,-4,0,0,0,0,Loss
2022flwp,2022flwp_qm32,red,frc2383,frc8817,frc4592,33,26,10,4,0,0,0,0,Win
2022flwp,2022flwp_qm33,blue,frc1592,frc179,frc7833,53,27,14,2,15,5,0,0,Win
2022flwp,2022flwp_qm33,red,frc2190,frc21,frc2183,26,-27,12,-2,10,-5,0,0,Loss
2022flwp,2022flwp_qm34,blue,frc3164,frc108,frc3627,30,17,6,0,6,0,12,12,Win
2022flwp,2022flwp_qm34,red,frc7652,frc6686,frc1523,13,-17,6,0,6,0,0,-12,Loss
2022flwp,2022flwp_qm35,blue,frc2383,frc5842,frc5472,40,-7,8,-6,16,1,0,0,Loss
2022flwp,2022flwp_qm35,red,frc4592,frc8754,frc2168,47,7,14,6,15,-1,0,0,Win
2022flwp,2022flwp_qm36,blue,frc1744,frc4206,frc21,30,-1,10,0,10,4,0,0,Loss
2022flwp,2022flwp_qm36,red,frc2190,frc2641,frc348,31,1,10,0,6,-4,0,0,Win
